sample	tcell_fraction_float
NWD749243	0.071226561
NWD414121	0.26867971
NWD541990	0.060756816
NWD128790	0.07161023
NWD377423	0
NWD223178	0.202099072
NWD361327	0.126032681
NWD736856	0.201786567
NWD536164	0.065922294
NWD712186	0.204542726
NWD855933	0.038097949
NWD545250	0.108346874
NWD763543	0.139912068
NWD975480	0.108463839
NWD249284	0.095485265
NWD676012	0.048674965
NWD649469	0.161716365
NWD465406	0.24093831
NWD329504	0.255855948
NWD380972	0.137366645
NWD860238	0.219125596
NWD781946	0.042211315
NWD310239	0.247579386
NWD850909	0.313215256
NWD494835	0.090193064
NWD466205	0.084200564
NWD571633	0.140931983
NWD328868	0.086353826
NWD186262	0
NWD374392	0.145940312
NWD444188	0.083903916
NWD688344	0.076014326
NWD491817	0.159889755
NWD268136	0.144739512
NWD586839	0.100269947
NWD872544	0.076147489
NWD558522	0.165143623
NWD421056	0.034896512
NWD269360	0.192153273
NWD883746	0.165212107
NWD877854	0.132504629
NWD506086	0.108462365
NWD762381	0.052824154
NWD157352	0.017675338
NWD307569	0.177709249
NWD769076	0.09259466
NWD352269	1.11E-16
NWD821149	0.26635572
NWD850150	0.281999299
NWD532710	0.086848436
NWD801739	0.146250186
NWD152404	0.140707369
NWD697542	0.228260559
NWD147969	0.159920027
NWD349389	0.172477981
NWD352165	0.127404408
NWD737726	0.121035782
NWD697541	0.120924714
NWD970589	0.064512849
NWD940960	0.115766484
NWD157698	0.056597711
NWD941552	0.146949843
NWD405950	0.15579068
NWD861728	0.02471681
NWD489083	0.215173452
NWD994356	0.153707007
NWD490302	0.145293935
NWD296365	0.082386042
NWD158336	0.090404665
NWD211827	0.072279705
NWD647757	0.302869436
NWD208850	0.221377015
NWD343109	0.078858684
NWD875720	0.076482946
NWD736380	0.046553106
NWD206033	0.103787421
NWD253508	0.108833719
NWD466359	0.164609844
NWD766013	0.24805537
NWD971822	0.117904768
NWD877082	0.115526559
NWD756896	0.090282199
NWD471394	0.239360297
NWD860344	0.1444753
NWD176573	0.12388959
NWD627663	0.160972809
NWD667728	0.112051424
NWD216306	0.018067018
NWD157957	0.168372893
NWD890416	0.12075285
NWD245366	0.135086882
NWD575889	0.134431785
NWD862082	0.135496319
NWD985930	0.130968662
NWD831565	0.161661406
NWD944272	0.11151289
NWD425555	0.198532016
NWD148658	0.108689444
NWD694915	0.163304161
NWD363746	0.21233361
NWD146364	0.069172489
NWD837866	0.04045124
NWD794267	0.089827302
NWD341838	0.077821151
NWD705676	0.08848617
NWD249578	0.208292499
NWD403038	0.122029946
NWD504555	0.064664795
NWD866281	0.127305747
NWD402213	0.00849621
NWD168527	0.108159235
NWD551951	0.056927564
NWD179781	0.132102194
NWD867432	0.094444585
NWD663832	0.07176881
NWD814967	0.218550969
NWD601991	0.014727464
NWD194755	0.127980488
NWD522547	0.204146071
NWD904296	0.14900304
NWD438764	0.206033129
NWD717233	0
NWD262910	0.046203374
NWD948741	0.118289835
NWD816953	0.046413995
NWD522080	0.167299947
NWD699066	0.053079287
NWD935961	0.091489744
NWD453333	0.122821907
NWD396519	0.095040767
NWD964187	0.167978548
NWD534618	0.133369873
NWD536235	0.131969315
NWD774542	0.029159234
NWD698441	0.088677977
NWD783794	0.306213091
NWD983564	0.125348344
NWD221882	0.116236703
NWD853969	0.29295873
NWD966425	0.089404938
NWD944978	0.200229781
NWD751647	0.134545135
NWD358219	0.132269271
NWD348467	0.106969805
NWD281348	0.048181239
NWD150387	0.067589771
NWD667771	0.117056537
NWD626233	0.016428347
NWD629202	0.141036972
NWD654477	0.185714244
NWD517667	0.125027022
NWD929127	0.122484849
NWD933233	0.108304145
NWD209000	0.116056262
NWD523949	0.048093404
NWD531197	0.230249266
NWD724204	0.040161775
NWD820908	0.193909147
NWD335048	0.050099412
NWD692791	0.107518006
NWD479212	0.28213374
NWD775349	0.114044816
NWD588104	0.219848781
NWD215856	0.118286507
NWD828611	0.069019667
NWD397225	0
NWD899027	0.082947833
NWD851898	0.172633773
NWD837305	0.151573443
NWD420693	0.110690797
NWD227818	0.144166805
NWD970267	0.195289234
NWD376139	0.122955207
NWD840634	0.09041647
NWD196456	0.149668364
NWD245956	0.087089594
NWD107053	0.162966573
NWD734592	0.158991545
NWD995213	0.025014079
NWD592287	0.114261929
NWD888260	0.050146075
NWD298821	0.19266487
NWD761604	0.128218563
NWD998595	0.161384137
NWD497573	0.161931742
NWD340904	0.092974665
NWD291002	0.178160525
NWD787822	0.062700908
NWD383597	0.127970366
NWD469755	0.146449004
NWD687146	0.145391388
NWD254611	0.132653997
NWD338817	0.003608538
NWD328041	0.19860816
NWD509699	0.076449144
NWD397178	0.040691279
NWD653108	0.13437085
NWD875753	0.00348554
NWD931103	0.135232526
NWD205507	0.039531983
NWD149803	0.197496742
NWD831907	0.149977128
NWD847364	0.16143265
NWD433287	0.078723463
NWD252884	0.292342566
NWD688546	0.036890418
NWD161409	0.123358428
NWD568336	0.205442688
NWD268086	0.117763986
NWD154246	0.06448895
NWD570898	0.078309991
NWD656594	0.013985196
NWD232605	0.102301551
NWD684396	0.127810424
NWD746121	0.116625732
NWD277557	0.13807623
NWD149426	0.163180853
NWD279295	0.0921851
NWD411959	0.194976179
NWD411416	0.193933652
NWD600728	0.125759245
NWD908049	0.147851026
NWD623626	0.12151051
NWD621181	0.042048676
NWD154070	0.038846737
NWD718629	0.037633354
NWD803154	0.251114534
NWD569252	0.087839634
NWD287708	0.229918668
NWD230466	0.096908335
NWD642049	0.159939926
NWD285235	0.099414374
NWD661065	0.13990157
NWD136645	0.232493592
NWD973078	0.034942281
NWD315213	0.236358678
NWD500619	0.137425429
NWD569101	0.154838275
NWD117329	0.042284676
NWD906386	0.126253281
NWD367026	0.137947432
NWD124451	0.106038961
NWD294091	0.175006356
NWD473793	0.250297531
NWD260809	0.174756672
NWD786347	0.168594295
NWD239910	0.068684682
NWD387538	0.141892461
NWD430223	0.095235527
NWD603291	0.126842644
NWD451910	0.080729023
NWD548042	0.083387569
NWD623837	0.046957032
NWD995636	0.159581412
NWD386592	0.190166839
NWD688208	0.024624183
NWD173195	0.16164611
NWD942916	0.214151713
NWD776791	0.201804489
NWD760968	0.230522968
NWD952964	0.031333665
NWD927864	0.108395548
NWD140702	0.195481593
NWD121407	0.06005799
NWD328258	0.129929209
NWD701956	0.083588832
NWD261863	0.036593214
NWD128215	0.070313271
NWD352234	0.180317688
NWD985388	0.074845787
NWD431356	0.09651121
NWD311944	0.10626605
NWD549609	0.072369744
NWD484307	0
NWD370917	0.142479122
NWD365330	0.152777322
NWD127108	0.185253001
NWD355893	0.123942099
NWD690030	-2.22E-16
NWD190278	0.131505177
NWD401198	0.038148261
NWD980906	0.200937332
NWD905188	0.213199142
NWD325722	0.155658216
NWD957567	0
NWD557444	0.015560258
NWD289974	0.058707557
NWD766879	0.060752909
NWD494956	0.197420267
NWD443515	0.025305342
NWD363855	0.060429355
NWD214183	0.09376506
NWD335238	0.023147789
NWD936474	0.07255044
NWD846696	0.058423417
NWD647050	0.058253231
NWD872535	0.13630517
NWD375525	0.16452141
NWD912746	0.257209655
NWD150660	0.077796575
NWD626128	0.053811651
NWD267384	0.138633832
NWD587073	0.093683448
NWD445375	0.231019685
NWD863720	0.134574741
NWD313663	0.209875367
NWD878019	0.279602743
NWD221947	0.009568827
NWD134986	0
NWD724335	0.119072061
NWD345078	0.193125515
NWD494594	0.064974697
NWD223411	0.078747647
NWD746481	0.127725727
NWD833681	0.033111298
NWD541338	0.193103189
NWD556283	0.096245529
NWD405345	0.111559347
NWD968706	0.098049069
NWD356970	0.236748225
NWD934631	0.074322418
NWD463796	0.177437013
NWD914536	0.128899389
NWD280241	0.086561855
NWD631649	0.146529198
NWD938319	0.138467269
NWD850558	0.196921065
NWD280206	0.020201233
NWD490729	0.080042282
NWD624204	0.126676975
NWD529473	0.088932375
NWD314407	0.07625306
NWD258204	0.199967235
NWD320728	0
NWD652768	0.055934902
NWD982818	0.115888743
NWD389541	0.117088392
NWD140173	0.055930586
NWD996331	0.067887493
NWD131737	0.085779904
NWD770425	0.139399144
NWD516111	0.154578165
NWD339155	0.170010636
NWD844225	0.20181529
NWD850544	0.049595615
NWD375962	0.16547681
NWD826073	0.161633025
NWD790273	-2.22E-16
NWD628968	0.169510153
NWD727083	0.178462787
NWD724009	0.24909642
NWD312162	0.105934535
NWD671214	0.110820118
NWD305049	0.235818294
NWD752269	0.218631413
NWD294558	0.093437876
NWD356782	0.229793343
NWD772053	0.185208519
NWD301538	0.098543407
